"sumCar","amount","tick"
4.0,4.0,1.0
4.0,8.0,2.0
4.6666666667,14.0,3.0
5.0,20.0,4.0
4.6,23.0,5.0
4.5,27.0,6.0
4.2857142857,30.0,7.0
4.375,35.0,8.0
4.4444444444,40.0,9.0
4.6,46.0,10.0
4.6363636364,51.0,11.0
5.1666666667,62.0,12.0
5.4615384615,71.0,13.0
5.5,77.0,14.0
5.4,81.0,15.0
5.25,84.0,16.0
5.0588235294,86.0,17.0
5.1666666667,93.0,18.0
5.2105263158,99.0,19.0
5.1,102.0,20.0
4.9523809524,104.0,21.0
4.9090909091,108.0,22.0
5.0434782609,116.0,23.0
5.25,126.0,24.0
5.2,130.0,25.0
5.1153846154,133.0,26.0
5.0740740741,137.0,27.0
5.1071428571,143.0,28.0
5.275862069,153.0,29.0
5.4,162.0,30.0
5.4838709677,170.0,31.0
5.5,176.0,32.0
5.5757575758,184.0,33.0
5.7647058824,196.0,34.0
5.7714285714,202.0,35.0
5.6666666667,204.0,36.0
5.5675675676,206.0,37.0
5.4736842105,208.0,38.0
5.4615384615,213.0,39.0
5.475,219.0,40.0
5.4146341463,222.0,41.0
5.5714285714,234.0,42.0
5.7674418605,248.0,43.0
5.9772727273,263.0,44.0
5.9111111111,266.0,45.0
5.8043478261,267.0,46.0
5.7446808511,270.0,47.0
5.75,276.0,48.0
5.693877551,279.0,49.0
5.66,283.0,50.0
5.6274509804,287.0,51.0
5.6730769231,295.0,52.0
5.7547169811,305.0,53.0
5.8333333333,315.0,54.0
5.8181818182,320.0,55.0
5.7857142857,324.0,56.0
5.7719298246,329.0,57.0
5.7586206897,334.0,58.0
5.7288135593,338.0,59.0
5.7333333333,344.0,60.0
5.7868852459,353.0,61.0
5.8064516129,360.0,62.0
5.8571428571,369.0,63.0
5.875,376.0,64.0
5.8307692308,379.0,65.0
5.7878787879,382.0,66.0
5.776119403,387.0,67.0
5.7647058824,392.0,68.0
5.7246376812,395.0,69.0
5.7,399.0,70.0
5.661971831,402.0,71.0
5.6805555556,409.0,72.0
5.7534246575,420.0,73.0
5.8243243243,431.0,74.0
5.7733333333,433.0,75.0
5.7236842105,435.0,76.0
5.7272727273,441.0,77.0
5.7820512821,451.0,78.0
5.8481012658,462.0,79.0
5.9,472.0,80.0
5.8888888889,477.0,81.0
5.8902439024,483.0,82.0
5.9036144578,490.0,83.0
5.9166666667,497.0,84.0
5.9058823529,502.0,85.0
5.8837209302,506.0,86.0
5.8505747126,509.0,87.0
5.8295454545,513.0,88.0
5.808988764,517.0,89.0
5.8111111111,523.0,90.0
5.8021978022,528.0,91.0
5.8043478261,534.0,92.0
5.8279569892,542.0,93.0
5.8723404255,552.0,94.0
5.8421052632,555.0,95.0
5.8125,558.0,96.0
5.793814433,562.0,97.0
5.8163265306,570.0,98.0
5.8282828283,577.0,99.0
5.79,579.0,100.0
5.7425742574,580.0,101.0
5.7352941176,585.0,102.0
5.786407767,596.0,103.0
5.8461538462,608.0,104.0
5.8285714286,612.0,105.0
5.8018867925,615.0,106.0
5.7943925234,620.0,107.0
5.8055555556,627.0,108.0
5.8165137615,634.0,109.0
5.7909090909,637.0,110.0
5.7747747748,641.0,111.0
5.8125,651.0,112.0
5.8584070796,662.0,113.0
5.8859649123,671.0,114.0
5.8608695652,674.0,115.0
5.8448275862,678.0,116.0
5.8461538462,684.0,117.0
5.8389830508,689.0,118.0
5.8235294118,693.0,119.0
5.8166666667,698.0,120.0
5.7933884298,701.0,121.0
5.8360655738,712.0,122.0
5.8861788618,724.0,123.0
5.9274193548,735.0,124.0
5.896,737.0,125.0
5.873015873,740.0,126.0
5.8661417323,745.0,127.0
5.875,752.0,128.0
5.8914728682,760.0,129.0
5.8846153846,765.0,130.0
5.8854961832,771.0,131.0
5.9015151515,779.0,132.0
5.9323308271,789.0,133.0
5.9626865672,799.0,134.0
5.9333333333,801.0,135.0
5.9044117647,803.0,136.0
5.8759124088,805.0,137.0
5.8623188406,809.0,138.0
5.8489208633,813.0,139.0
5.8285714286,816.0,140.0
5.8085106383,819.0,141.0
5.8098591549,825.0,142.0
5.8601398601,838.0,143.0
5.9027777778,850.0,144.0
5.875862069,852.0,145.0
5.8561643836,855.0,146.0
5.8367346939,858.0,147.0
5.8445945946,865.0,148.0
5.8523489933,872.0,149.0
5.8866666667,883.0,150.0
5.8874172185,889.0,151.0
5.8815789474,894.0,152.0
5.9019607843,903.0,153.0
5.9220779221,912.0,154.0
5.9225806452,918.0,155.0
5.9102564103,922.0,156.0
5.898089172,926.0,157.0
5.8924050633,931.0,158.0
5.8867924528,936.0,159.0
5.8875,942.0,160.0
5.8819875776,947.0,161.0
5.9135802469,958.0,162.0
5.9447852761,969.0,163.0
5.9695121951,979.0,164.0
5.9454545455,981.0,165.0
5.921686747,983.0,166.0
5.9101796407,987.0,167.0
5.9047619048,992.0,168.0
5.899408284,997.0,169.0
5.8764705882,999.0,170.0
5.8596491228,1002.0,171.0
5.8662790698,1009.0,172.0
5.9075144509,1022.0,173.0
5.9540229885,1036.0,174.0
5.9257142857,1037.0,175.0
5.9034090909,1039.0,176.0
5.8983050847,1044.0,177.0
5.904494382,1051.0,178.0
5.8938547486,1055.0,179.0
5.8944444444,1061.0,180.0
5.9060773481,1069.0,181.0
5.9175824176,1077.0,182.0
5.9180327869,1083.0,183.0
5.9184782609,1089.0,184.0
5.9081081081,1093.0,185.0
5.9086021505,1099.0,186.0
5.8983957219,1103.0,187.0
5.8829787234,1106.0,188.0
5.8677248677,1109.0,189.0
5.8736842105,1116.0,190.0
5.8795811518,1123.0,191.0
5.8958333333,1132.0,192.0
5.9015544041,1139.0,193.0
5.9175257732,1148.0,194.0
5.9025641026,1151.0,195.0
5.8979591837,1156.0,196.0
