"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1.0,0.26,2,13,0.29600000000000015
2.0,0.46,2,10,0.30799999999999955
3.0,0.66,3,10,0.3209999999999993
4.0,0.88,3.5,11,0.3294999999999993
5.0,1.16,2.8,14,0.33520000000000044
6.0,1.46,2.3333333333,15,0.3390000000000012
7.0,1.82,2.1428571429,18,0.34171428571428747
8.0,2.2,2.75,19,0.3437500000000021
9.0,2.6,3.2222222222,20,0.3453333333333358
10.0,2.92,3.1,16,0.3498000000000028
11.0,3.22,3,15,0.3531818181818212
12.0,3.46,3.4166666667,12,0.35666666666666996
13.0,3.74,4,14,0.3598461538461573
14.0,4,4.2142857143,13,0.3625714285714322
15.0,4.24,4.0666666667,12,0.36493333333333544
16.0,4.5,4.0625,13,0.3670000000000006
17.0,4.78,4.2941176471,14,0.368823529411764
18.0,5.1,4.3333333333,16,0.3704444444444425
19.0,5.42,4.4210526316,16,0.3718947368421023
20.0,5.64,4.5,11,0.3731999999999961
21.0,5.84,4.4761904762,10,0.3743809523809476
22.0,6.08,4.5454545455,12,0.3754545454545399
23.0,6.3,4.8260869565,11,0.37643478260868934
24.0,6.52,5.0833333333,11,0.37733333333332636
25.0,6.76,5.16,12,0.37815999999999245
26.0,7.02,5.1923076923,13,0.3789230769230688
27.0,7.36,5.2592592593,17,0.37962962962962105
28.0,7.72,5.2142857143,18,0.3802857142857052
29.0,8.1,5.2068965517,19,0.38089655172412834
30.0,8.28,5.1333333333,9,0.38146666666665663
31.0,8.4,5.0645161290,6,0.3819999999999895
32.0,8.54,5.15625,7,0.3824999999999891
33.0,8.7,5.4545454545,8,0.38287878787877666
34.0,8.8,5.7352941176,5,0.3832352941176355
35.0,8.92,5.6857142857,6,0.38365714285713093
36.0,9.08,5.5833333333,8,0.3840555555555433
37.0,9.22,5.5135135135,7,0.3844324324324199
38.0,9.44,5.4736842105,11,0.38478947368419775
39.0,9.7,5.3846153846,13,0.38512820512819207
40.0,9.92,5.45,11,0.3854499999999867
41.0,10.1,5.5365853659,9,0.3857560975609621
42.0,10.2,5.5952380952,5,0.38604761904760526
43.0,10.34,5.6744186047,7,0.38632558139533485
44.0,10.46,5.7727272727,6,0.3865909090908949
45.0,10.56,5.7333333333,5,0.38684444444443006
46.0,10.7,5.6956521739,7,0.38708695652172453
47.0,10.88,5.6595744681,9,0.38731914893615543
48.0,11.08,5.6458333333,10,0.3875416666666517
49.0,11.3,5.6326530612,11,0.3877551020408012
50.0,11.46,5.7,8,0.3879599999999847
51.0,11.58,5.7254901961,6,0.3881568627450826
52.0,11.64,5.6923076923,3,0.38834615384613824
53.0,11.76,5.7358490566,6,0.38852830188677734
54.0,11.88,5.8333333333,6,0.3887037037036905
55.0,12,5.8363636364,6,0.3888727272727159
56.0,12.12,5.8035714286,6,0.3890357142857047
57.0,12.28,5.7368421053,8,0.3891929824561325
58.0,12.52,5.7068965517,12,0.38934482758620065
59.0,12.76,5.7118644068,12,0.38949152542372417
60.0,12.86,5.6833333333,5,0.3896333333333303
61.0,12.96,5.6393442623,5,0.3897704918032771
62.0,13.08,5.6935483871,6,0.3899032258064515
63.0,13.22,5.8253968254,7,0.3900317460317473
64.0,13.34,5.96875,6,0.39015625000000265
65.0,13.52,5.9538461538,9,0.390276923076927
66.0,13.7,5.9242424242,9,0.3903939393939446
67.0,13.9,5.9104477612,10,0.3905074626865736
68.0,14.16,5.9117647059,13,0.3906176470588312
69.0,14.44,5.8840579710,14,0.3907246376811683
70.0,14.58,5.8714285714,7,0.3908285714285814
71.0,14.68,5.8591549296,5,0.3909295774647998
72.0,14.82,5.9305555556,7,0.3910277777777899
73.0,14.98,6.0273972603,8,0.39112328767124604
74.0,15.1,6.1081081081,6,0.39121621621623043
75.0,15.22,6.0533333333,6,0.39130666666668185
76.0,15.4,6.0131578947,9,0.3913947368421214
77.0,15.64,5.9740259740,12,0.3914805194805366
78.0,15.88,5.9487179487,12,0.39156410256412055
79.0,16.16,5.8987341772,14,0.391645569620272
80.0,16.38,5.8875,11,0.39172500000001975
81.0,16.56,5.8888888889,9,0.39180246913582306
82.0,16.76,5.8902439024,10,0.39187804878050925
83.0,16.94,5.9036144578,9,0.3919518072289379
84.0,17.08,5.9047619048,7,0.39202380952383253
85.0,17.24,5.9058823529,8,0.3920941176470826
86.0,17.42,5.9186046512,9,0.39216279069769894
87.0,17.62,5.9310344828,10,0.3922298850574965
88.0,17.86,5.9090909091,12,0.39229545454548054
89.0,18.14,5.8876404494,14,0.3923595505618244
90.0,18.38,5.9111111111,12,0.3924222222222496
91.0,18.6,5.9120879121,11,0.3924835164835445
92.0,18.76,5.9130434783,8,0.39254347826089825
93.0,18.88,5.9462365591,6,0.39260215053766373
94.0,19,5.9680851064,6,0.39265957446811506
95.0,19.16,5.9473684211,8,0.39271578947371477
96.0,19.34,5.9166666667,9,0.3927708333333645
97.0,19.58,5.8969072165,12,0.392824742268073
98.0,19.84,5.8673469388,13,0.3928775510204405
99.0,20.12,5.8383838384,14,0.3929292929293258
100.0,20.36,5.83,12,0.39298000000003347
101.0,20.54,5.8217821782,9,0.393029702970331
102.0,20.7,5.8627450980,8,0.3930784313725835
103.0,20.84,5.9126213592,7,0.39312621359226807
104.0,21.04,5.9711538462,10,0.3931730769231125
105.0,21.26,5.9619047619,11,0.39321904761908366
106.0,21.44,5.9245283019,9,0.3932641509434328
107.0,21.68,5.9158878505,12,0.3933084112149904
108.0,21.94,5.9166666667,13,0.3933518518518895
109.0,22.24,5.9266055046,15,0.3933944954128822
110.0,22.4,5.9272727273,8,0.3934363636364023
111.0,22.56,5.9189189189,8,0.3934774774775166
112.0,22.7,5.9464285714,7,0.3935178571428967
113.0,22.86,6,8,0.39355752212393386
114.0,22.98,6.0526315789,6,0.3935964912281107
115.0,23.16,6.0347826087,9,0.39363478260873663
116.0,23.34,6.0172413793,9,0.3936724137931449
117.0,23.56,5.9829059829,11,0.3937094017094436
118.0,23.8,5.9576271186,12,0.3937457627119067
119.0,24.1,5.9327731092,15,0.39378151260508476
120.0,24.26,5.9333333333,8,0.3938166666667098
121.0,24.42,5.9338842975,8,0.39385123966946506
122.0,24.64,5.9344262295,11,0.3938852459016833
123.0,24.86,5.9674796748,11,0.3939186991870362
124.0,25.1,6.0241935484,12,0.3939516129032705
125.0,25.36,6.024,13,0.39398400000004513
126.0,25.62,5.9920634921,13,0.3940158730159185
127.0,25.98,5.9685039370,18,0.39404724409453407
128.0,26.34,5.9609375,18,0.39407812500004624
129.0,26.7,5.9457364341,18,0.39410852713182953
130.0,26.86,5.9230769231,8,0.3941384615385085
131.0,27,5.9083969466,7,0.394167938931345
132.0,27.12,5.9242424242,6,0.39419696969701734
133.0,27.2,5.9624060150,4,0.39422556390982244
134.0,27.3,6.0074626866,5,0.3942537313433319
135.0,27.44,5.9777777778,7,0.39428148148153014
136.0,27.58,5.9779411765,7,0.39430882352946073
137.0,27.78,5.9854014599,10,0.39433576642340695
138.0,27.98,5.9855072464,10,0.39436231884062933
139.0,28.22,5.9712230216,12,0.394388489208683
140.0,28.4,5.9714285714,9,0.39441428571433595
141.0,28.58,5.9645390071,9,0.3944397163121073
142.0,28.76,5.9788732394,9,0.39446478873244517
143.0,28.9,6,7,0.3944895104895616
144.0,29.04,6.0277777778,7,0.3945138888889403
145.0,29.2,6.0137931034,8,0.39453793103453444
146.0,29.4,6.0068493151,10,0.39456164383566844
147.0,29.62,5.9795918367,11,0.3945850340136577
148.0,29.9,5.9797297297,14,0.39460810810816066
149.0,30.18,5.9731543624,14,0.3946308724832743
150.0,30.38,5.9866666667,10,0.3946333333333864
151.0,30.58,6,10,0.3946357615894573
152.0,30.68,6.0328947368,5,0.39465789473689566
153.0,30.84,6.0522875817,8,0.39467973856214533
154.0,30.98,6.0649350649,7,0.3947012987013528
155.0,31.14,6.0645161290,8,0.3947225806452156
156.0,31.34,6.0641025641,10,0.3947435897436443
157.0,31.56,6.0573248408,11,0.3947643312102459
158.0,31.82,6.0379746835,13,0.39478481012663735
159.0,32.1,6.0125786164,14,0.3948050314465962
160.0,32.26,6,8,0.39482500000005555
161.0,32.42,5.9875776398,8,0.3948447204969502
162.0,32.54,5.9938271605,6,0.39486419753092017
163.0,32.68,6.0245398773,7,0.3948834355828783
164.0,32.8,6.0731707317,6,0.39490243902444666
165.0,32.94,6.0666666667,7,0.3949212121212688
166.0,33.12,6.0481927711,9,0.39493975903620143
167.0,33.4,6.0359281437,14,0.3949580838323924
168.0,33.68,6.0416666667,14,0.39497619047624777
169.0,33.98,6.0414201183,15,0.3949940828402942
