"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-39,"true",-39,0,70,1769780635,20,40,40,1.0,1.0,1
3,-39,"true",-39,0,70,1769792763,20,40,40,1.0,1.0,3
5,-39,"true",-39,0,70,1769802471,20,40,40,1.0,1.0,5
7,-39,"true",-39,0,70,1769810346,20,40,40,1.0,1.0,7
9,-39,"true",-39,0,70,1769818795,20,40,40,1.0,1.0,9
11,-39,"true",-39,0,70,1769827897,20,40,40,1.0,1.0,11
13,-39,"true",-39,0,70,1769835900,20,40,40,1.0,1.0,13
15,-39,"true",-39,0,70,1769843893,20,40,40,1.0,1.0,15
17,-39,"true",-39,0,70,1769852110,20,40,40,1.0,1.0,17
19,-39,"true",-39,0,70,1769860010,20,40,40,1.0,1.0,19
21,-39,"true",-39,0,70,1769868357,20,40,40,1.0,1.0,21
23,-39,"true",-39,0,70,1769876447,20,40,40,1.0,1.0,23
25,-39,"true",-39,0,70,1769884498,20,40,40,1.0,1.0,25
27,-39,"true",-39,0,70,1769892616,20,40,40,1.0,1.0,27
29,-39,"true",-39,0,70,1769900520,20,40,40,1.0,1.0,29
31,-39,"true",-39,0,70,1769908604,20,40,40,1.0,1.0,31
33,-39,"true",-39,0,70,1769916662,20,40,40,1.0,1.0,33
35,-39,"true",-39,0,70,1769925538,20,40,40,1.0,1.0,35
37,-39,"true",-39,0,70,1769933635,20,40,40,1.0,1.0,37
39,-39,"true",-39,0,70,1769941630,20,40,40,1.0,1.0,39
2,-39,"true",-39,0,70,1769780735,20,40,40,1.0,1.0,2
4,-39,"true",-39,0,70,1769792575,20,40,40,1.0,1.0,4
6,-39,"true",-39,0,70,1769802173,20,40,40,1.0,1.0,6
8,-39,"true",-39,0,70,1769810277,20,40,40,1.0,1.0,8
10,-39,"true",-39,0,70,1769818466,20,40,40,1.0,1.0,10
12,-39,"true",-39,0,70,1769827688,20,40,40,1.0,1.0,12
14,-39,"true",-39,0,70,1769835776,20,40,40,1.0,1.0,14
16,-39,"true",-39,0,70,1769843899,20,40,40,1.0,1.0,16
18,-39,"true",-39,0,70,1769851866,20,40,40,1.0,1.0,18
20,-39,"true",-39,0,70,1769859912,20,40,40,1.0,1.0,20
22,-39,"true",-39,0,70,1769868201,20,40,40,1.0,1.0,22
24,-39,"true",-39,0,70,1769876302,20,40,40,1.0,1.0,24
26,-39,"true",-39,0,70,1769884594,20,40,40,1.0,1.0,26
28,-39,"true",-39,0,70,1769892876,20,40,40,1.0,1.0,28
30,-39,"true",-39,0,70,1769901133,20,40,40,1.0,1.0,30
32,-39,"true",-39,0,70,1769909187,20,40,40,1.0,1.0,32
34,-39,"true",-39,0,70,1769917570,20,40,40,1.0,1.0,34
36,-39,"true",-39,0,70,1769926700,20,40,40,1.0,1.0,36
38,-39,"true",-39,0,70,1769935079,20,40,40,1.0,1.0,38
40,-39,"true",-39,0,70,1769943276,20,40,40,1.0,1.0,40
