"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,1680,1305,1680,0.2998178571
3,400.0,1797,1295,1797,0.2998392857
5,400.0,1760,1298,1760,0.2998392857
7,400.0,1567,1312,1567,0.2995178571
9,400.0,1927,1296,1927,0.2998071429
11,400.0,2453,1267,2453,0.2995714286
13,400.0,2509,1282,2509,0.2993035714
15,400.0,2571,1280,2571,0.2995392857
17,400.0,2666,1275,2666,0.2997
19,400.0,3037,1238,3037,0.2992928571
21,400.0,3069,1250,3069,0.2996464286
23,400.0,4084,1200,4084,0.2998285714
25,400.0,3481,1222,3481,0.2991857143
27,400.0,3740,1211,3740,0.2996142857
29,400.0,3695,1241,3695,0.2993035714
31,400.0,5176,1139,5176,0.2995714286
33,400.0,4032,1178,4032,0.2995071429
35,400.0,4403,1194,4403,0.2989285714
37,400.0,4631,1165,4631,0.2994214286
39,400.0,4534,1205,4534,0.2978678571
2,400.0,1739,1311,1739,0.299925
4,400.0,1617,1333,1617,0.2998714286
6,400.0,1228,1328,1228,0.2997428571
8,400.0,1833,1332,1833,0.2994107143
10,400.0,1718,1303,1718,0.2997857143
12,400.0,2088,1305,2088,0.2994321429
14,400.0,2012,1316,2012,0.2994428571
16,400.0,2810,1263,2810,0.2996892857
18,400.0,2540,1308,2540,0.2991214286
20,400.0,2721,1270,2721,0.2992928571
22,400.0,3616,1208,3616,0.2994535714
24,400.0,3108,1227,3108,0.2996892857
26,400.0,3307,1244,3307,0.2988
28,400.0,3422,1242,3422,0.2993142857
30,400.0,4319,1189,4319,0.299625
32,400.0,5068,1168,5068,0.298575
34,400.0,5495,1146,5495,0.2995285714
36,400.0,4498,1178,4498,0.2991
38,400.0,4585,1179,4585,0.2994964286
40,400.0,4816,1171,4816,0.2990035714
