"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-39,"true",-39,0,70,1713683687,20,40,40,1.0,1.0,1
3,-39,"true",-39,0,70,1713694172,20,40,40,1.0,1.0,3
5,-39,"true",-39,0,70,1713703482,20,40,40,1.0,1.0,5
7,-39,"true",-39,0,70,1713711372,20,40,40,1.0,1.0,7
9,-39,"true",-39,0,70,1713720076,20,40,40,1.0,1.0,9
11,-39,"true",-39,0,70,1713728468,20,40,40,1.0,1.0,11
13,-39,"true",-39,0,70,1713736296,20,40,40,1.0,1.0,13
15,-39,"true",-39,0,70,1713744828,20,40,40,1.0,1.0,15
17,-39,"true",-39,0,70,1713753333,20,40,40,1.0,1.0,17
19,-39,"true",-39,0,70,1713761820,20,40,40,1.0,1.0,19
21,-39,"true",-39,0,70,1713770695,20,40,40,1.0,1.0,21
23,-39,"true",-39,0,70,1713779117,20,40,40,1.0,1.0,23
25,-39,"true",-39,0,70,1713787479,20,40,40,1.0,1.0,25
27,-39,"true",-39,0,70,1713796370,20,40,40,1.0,1.0,27
29,-39,"true",-39,0,70,1713805245,20,40,40,1.0,1.0,29
31,-39,"true",-39,0,70,1713813995,20,40,40,1.0,1.0,31
33,-39,"true",-39,0,70,1713822479,20,40,40,1.0,1.0,33
35,-39,"true",-39,0,70,1713831370,20,40,40,1.0,1.0,35
37,-39,"true",-39,0,70,1713840151,20,40,40,1.0,1.0,37
39,-39,"true",-39,0,70,1713848686,20,40,40,1.0,1.0,39
2,-39,"true",-39,0,70,1713683640,20,40,40,1.0,1.0,2
4,-39,"true",-39,0,70,1713694188,20,40,40,1.0,1.0,4
6,-39,"true",-39,0,70,1713703779,20,40,40,1.0,1.0,6
8,-39,"true",-39,0,70,1713711872,20,40,40,1.0,1.0,8
10,-39,"true",-39,0,70,1713720732,20,40,40,1.0,1.0,10
12,-39,"true",-39,0,70,1713729312,20,40,40,1.0,1.0,12
14,-39,"true",-39,0,70,1713737687,20,40,40,1.0,1.0,14
16,-39,"true",-39,0,70,1713746140,20,40,40,1.0,1.0,16
18,-39,"true",-39,0,70,1713755048,20,40,40,1.0,1.0,18
20,-39,"true",-39,0,70,1713764085,20,40,40,1.0,1.0,20
22,-39,"true",-39,0,70,1713773117,20,40,40,1.0,1.0,22
24,-39,"true",-39,0,70,1713781335,20,40,40,1.0,1.0,24
26,-39,"true",-39,0,70,1713790370,20,40,40,1.0,1.0,26
28,-39,"true",-39,0,70,1713799479,20,40,40,1.0,1.0,28
30,-39,"true",-39,0,70,1713808417,20,40,40,1.0,1.0,30
32,-39,"true",-39,0,70,1713817385,20,40,40,1.0,1.0,32
34,-39,"true",-39,0,70,1713826042,20,40,40,1.0,1.0,34
36,-39,"true",-39,0,70,1713834917,20,40,40,1.0,1.0,36
38,-39,"true",-39,0,70,1713843948,20,40,40,1.0,1.0,38
40,-39,"true",-39,0,70,1713852110,20,40,40,1.0,1.0,40
