"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,2508,1810,2508,0.467625
3,400.0,2221,1312,2221,0.4809017857
5,400.0,1328,1319,1328,0.4921428571
7,400.0,2323,1248,2323,0.4885982143
9,400.0,2442,1253,2442,0.4896785714
11,400.0,2237,1259,2237,0.4895625
13,400.0,3349,1209,3349,0.4922053571
15,400.0,3149,1216,3149,0.4902053571
17,400.0,3700,1182,3700,0.4910089286
19,400.0,3752,1178,3752,0.4929285714
21,400.0,5312,1096,5312,0.4888571429
23,400.0,4023,1177,4023,0.4903303571
25,400.0,4821,1126,4821,0.4920089286
27,400.0,4469,1157,4469,0.4919285714
29,400.0,5368,1100,5368,0.4921696429
31,400.0,6499,1042,6499,0.4912857143
33,400.0,6990,1014,6990,0.4909107143
35,400.0,6437,1056,6437,0.4904732143
37,400.0,8123,958,8123,0.4911160714
39,400.0,9417,903,9417,0.4930892857
2,400.0,2628,1366,2628,0.4755446429
4,400.0,1644,1281,1644,0.4879910714
6,400.0,1672,1290,1672,0.4892142857
8,400.0,1572,1309,1572,0.4933303571
10,400.0,1983,1290,1983,0.49375
12,400.0,2448,1266,2448,0.4918660714
14,400.0,3764,1194,3764,0.4896875
16,400.0,3505,1186,3505,0.4914732143
18,400.0,3777,1179,3777,0.4917857143
20,400.0,6738,1024,6738,0.4906696429
22,400.0,4135,1182,4135,0.4911339286
24,400.0,4613,1146,4613,0.4906696429
26,400.0,4446,1157,4446,0.4924375
28,400.0,5349,1100,5349,0.4924285714
30,400.0,4318,1148,4318,0.4917678571
32,400.0,5094,1123,5094,0.4919375
34,400.0,7383,1006,7383,0.4924910714
36,400.0,7750,986,7750,0.4898392857
38,400.0,7261,1026,7261,0.4918660714
40,400.0,8080,942,8080,0.4928839286
